timestamp;distance;speed;acceleration
52.758;0.98;0.3;0.2
52.858;1;0.2;-0.1
52.958;1.03;0.3;0.1
53.058;0.96;0.2;-0.1
53.158;0.97;0.1;-0.1
53.258;0.95;-0.2;-0.3
53.358;0.94;-0.1;0.1
53.457;0.97;-0.1;0
53.557;0.98;0.1;0.2
53.657;0.97;0.1;0
53.757;0.99;0.1;0
53.857;0.95;-0.1;-0.2
53.957;0.98;0.2;0.3
54.057;0.99;0.1;-0.1
54.157;0.96;0.1;0
54.257;0.96;0;-0.1
54.357;0.96;0;0
54.457;0.97;0;0
54.557;0.94;0;0
54.657;0.93;-0.1;-0.1
54.757;0.98;-0.1;0
54.857;0.96;-0.1;0
54.957;0.97;0.1;0.2
55.057;0.92;-0.2;-0.3
55.157;0.97;0.1;0.3
55.257;1.03;0.5;0.4
55.357;1.05;0.5;0
55.457;1.07;0.2;-0.3
55.557;1.1;0.2;0
55.657;1.1;0.2;0
55.757;1.09;0;-0.2
55.857;1.14;0;0
55.957;1.12;-0.1;-0.1
56.057;1.17;0.5;0.6
56.157;1.17;0;-0.5
56.257;1.2;0.3;0.3
56.357;1.15;0;-0.3
56.457;1.23;0.3;0.3
56.557;1.21;-0.2;-0.5
56.657;1.24;0.3;0.5
56.757;1.21;-0.2;-0.5
56.857;1.19;-0.2;0
56.957;1.24;-0.2;0
57.057;1.28;0.4;0.6
57.157;1.26;0.4;0
57.257;1.28;0.2;-0.2
57.357;1.29;0.1;-0.1
57.457;1.26;0.1;0
57.557;1.27;0.1;0
57.656;1.3;0.1;0
57.756;1.3;0.1;0
57.856;1.3;0;-0.1
57.956;1.31;0;0
58.056;1.35;0.1;0.1
58.156;1.45;0.4;0.3
58.256;1.59;1;0.6
58.356;1.79;1.4;0.4
58.456;2.15;2;0.6
58.656;2.91;3.6;1.6
58.756;3.34;3.8;0.2
58.856;3.71;3.8;0
58.956;4.21;4.3;0.5
59.056;4.7;4.9;0.6
59.156;5.3;5;0.1
59.256;5.91;6;1
59.356;6.38;6;0
59.456;6.94;5.6;-0.4
59.556;7.59;5.6;0
59.656;8.23;6.4;0.8
59.756;8.95;6.5;0.1
59.856;9.53;6.4;-0.1
59.956;10.25;7.2;0.8
60.056;10.93;6.8;-0.4
60.156;11.37;6.8;0
60.256;12.28;6.8;0
60.356;13.52;9.1;2.3
60.456;13.79;9.1;0
60.556;14.77;9.81;0.71
60.656;15.15;3.8;-6.01
60.756;15.88;7.3;3.5
60.856;16.7;7.3;0
60.956;18.07;8.2;0.9
61.056;18.58;8.2;0
61.156;19.01;5.1;-3.1
61.256;19.84;5.1;0
61.356;20.54;7;1.9
61.456;22.3;8.3;1.3
61.556;22.5;7;-1.3
61.656;23.15;6.5;-0.5
61.755;23.92;6.5;0
61.855;25.12;7.7;1.2
61.955;25.72;7.7;0
62.055;26.46;7.4;-0.3
62.155;27.29;7.4;0
62.255;27.76;7.4;0
62.355;28.81;8.3;0.9
62.455;29.77;9.6;1.3
62.555;30.56;9.6;0
62.655;31.28;7.9;-1.7
62.755;32.33;7.9;0
62.855;32.79;7.2;-0.7
62.955;33.72;9.3;2.1
63.055;34.4;6.8;-2.5
63.155;35.13;7.3;0.5
63.255;35.95;7.3;0
63.355;36.92;8.2;0.9
63.455;37.66;8.2;0
63.555;38.23;7.4;-0.8
63.655;38.86;6.3;-1.1
63.755;39.64;6.3;0
63.855;40.5;7.8;1.5
63.955;41.27;7.8;0
64.055;41.68;7.7;-0.1
64.155;42.3;6.2;-1.5
64.255;43.01;6.2;0
64.355;43.88;7.1;0.9
64.455;44.54;7.1;0
64.555;45.07;6.6;-0.5
64.655;45.65;5.8;-0.8
64.755;46.23;5.8;0
64.855;46.79;5.8;0
64.955;47.33;5.6;-0.2
65.055;48.09;5.6;0
65.155;48.49;5.4;-0.2
65.255;48.98;4.9;-0.5
65.355;49.53;4.9;0
65.455;49.98;4.9;0
65.555;50.48;5;0.1
65.655;51.07;5;0
65.755;51.42;5;0
65.854;41.25;3.5;-1.5
65.954;52.08;3.5;0
66.054;52.5;4.2;0.7
66.154;52.97;4.7;0.5
66.254;53.2;4.2;-0.5
66.454;53.81;3.05;-1.15
66.554;54.01;2.3;-0.75
66.654;54.19;2;-0.3
66.754;54.37;1.8;-0.2
