timestamp[s];distance[m];speed[m/s];acceleration[m/s^2]
332.289;0.96;-0.2;0
332.389;0.96;0;0.2
332.489;0.98;0;0
332.589;1.05;0.2;0.2
332.689;1.06;0.2;0
332.789;1.09;0.3;0.1
332.889;1.12;0.3;0
332.989;1.04;0.3;0
333.089;1.08;0.3;0
333.189;1.11;0.3;0
333.289;1.13;0.3;0
333.389;1.16;0.3;0
333.489;1.2;0.3;0
333.589;1.16;0.3;0
333.689;1.16;0;-0.3
333.789;1.19;0;0
333.889;1.18;0;0
333.989;1.18;0;0
334.089;1.18;0;0
334.189;1.18;0;0
334.289;1.17;0;0
334.389;1.22;0;0
334.489;1.2;-0.1;-0.1
334.589;1.17;-0.2;-0.1
334.689;1.25;-0.2;0
334.789;1.3;0.5;0.7
334.889;1.28;0.5;0
334.989;1.28;0;-0.5
335.089;1.29;0;0
335.189;1.27;0;0
335.389;1.26;-0.05;-0.05
335.489;1.26;-0.05;0
335.589;1.28;0;0.05
335.689;1.27;0;0
335.789;1.28;0.1;0.1
335.889;1.3;0.1;0
335.989;1.32;0.2;0.1
336.089;1.32;0.2;0
336.288;1.35;0.15;-0.05
336.388;1.39;0.15;0
336.488;1.4;0.15;0
336.588;1.43;0.3;0.15
336.688;1.55;0.3;0
336.788;1.67;1.2;0.9
336.888;1.97;1.2;0
336.988;2.28;3;1.8
337.088;2.69;3.1;0.1
337.188;3.08;3.9;0.8
337.288;3.46;3.9;0
337.388;3.89;3.9;0
337.488;4.37;4.3;0.4
337.588;4.98;4.8;0.5
337.688;5.43;4.8;0
337.788;6.05;6.1;1.3
337.888;6.6;5.5;-0.6
337.988;7.22;6.2;0.7
338.088;7.8;5.8;-0.4
338.188;8.49;6.2;0.4
338.288;9.11;6.2;0
338.388;9.78;6.7;0.5
338.488;10.47;6.7;0
338.588;11.14;6.7;0
338.688;11.8;6.7;0
338.788;12.52;6.7;0
338.888;13.3;7.2;0.5
338.988;14.11;7.8;0.6
339.088;14.99;8.1;0.3
339.188;15.23;8.1;0
339.288;16.33;8.8;0.7
339.388;16.94;6.1;-2.7
339.488;18.28;11;4.9
339.588;18.85;6.1;-4.9
339.688;19.25;5.7;-0.4
339.788;20.11;5.7;0
339.888;21.62;8.6;2.9
339.988;21.63;8.6;0
340.088;22.53;9;0.4
340.188;23.41;8.8;-0.2
340.287;23.94;8.8;0
340.387;24.93;8.8;0
340.487;25.96;9.9;1.1
340.587;26.79;9.9;0
340.687;27.37;8.3;-1.6
340.787;28.44;8.3;0
340.887;29.27;8.3;0
340.987;29.83;8.3;0
341.087;30.5;6.7;-1.6
341.187;31.31;6.7;0
341.287;31.91;6.7;0
341.387;33.1;8.1;1.4
341.487;33.72;6.2;-1.9
341.587;34.4;6.8;0.6
341.687;35.02;6.2;-0.6
341.787;35.8;6.8;0.6
341.887;36.66;7.8;1
341.987;37.3;7.8;0
342.087;37.89;6.4;-1.4
342.187;38.52;6.3;-0.1
342.287;39.17;6.3;0
342.387;39.98;6.5;0.2
342.487;40.81;8.1;1.6
342.587;41.1;8.1;0
342.687;41.74;6.4;-1.7
342.787;42.28;5.4;-1
342.887;43.19;6.4;1
342.987;43.62;5.4;-1
343.087;44.28;6.6;1.2
343.187;44.6;4.3;-2.3
343.287;45.04;4.4;0.1
343.387;45.6;4.4;0
343.487;46.2;5.6;1.2
343.587;46.57;5.6;0
343.687;47.35;6;0.4
343.787;47.65;3.7;-2.3
343.887;48.09;4.4;0.7
344.087;48.96;4.35;-0.05
344.187;28.71;4.35;0
344.286;49.89;4.35;0
344.386;50.32;4.3;-0.05
344.486;50.57;4.3;0
344.586;50.85;2.8;-1.5
344.686;51.23;2.8;0
344.786;51.55;3.2;0.4
344.886;51.95;3.8;0.6
344.986;52.32;3.7;-0.1
345.086;52.58;3.7;0
345.186;52.8;2.6;-1.1
345.286;53.04;2.4;-0.2
345.386;47.81;2.2;-0.2
345.486;53.46;2.4;0.2
345.586;43.06;-52.31;-54.71
345.686;53.92;56.51;108.83
345.786;54.11;1.9;-54.61
345.886;54.22;1.9;0
345.986;43.66;1.1;-0.8
346.086;54.41;1.1;0
346.186;33.18;-105.59;-106.69
346.286;33.24;0.6;106.19
346.386;33.24;0;-0.6
346.486;49.18;0.6;0.6
346.586;54.69;55.11;54.51
346.686;54.74;55.11;0
346.786;54.77;0.5;-54.61
346.886;54.92;0.5;0
346.986;56.05;1.5;1
347.086;55.96;1.5;0
347.186;55.05;-0.9;-2.4
